"url","headline","summary","date","tag"
"https://www.bbc.com/news/articles/c5y65nz6ldko","Man arrested over £7.5m international cyber fraud","A fraudulent authentication tool is said to have been used more than 28,000 times in 13 countries.","22 Apr 2025","Tees"
"https://www.bbc.com/news/articles/cly1xw5qe7qo","Police fatally shoot man at Toronto's international airport","Authorities said the police officers involved were unharmed, and that there was no further threat to public safety.","24 Apr 2025","US & Canada"
"https://www.bbc.com/sport/football/articles/cgkg85lr0r4o","Wales international Wynne suffers fresh ACL injury","Wales international Megan Wynne has promised to ""get through, just like I did before"" as she faces up to the second knee surgery of her career.","22 Apr 2025","Wales Women"
"https://www.bbc.com/audio/play/p0l7g04w","Cam Henderson On Physicality, International Ambitions And Life In Finance","Adam Whitty & Tom Varndell hear from Cam Henderson as the season approaches its climax.","30 Apr 2025","Sport"
"https://www.bbc.com/audio/play/m002c3k1","Teaching 'grit', Amnesty International UK, Brain Aneurysm play, New Age of Sexism","Pupils need more robust mental health, says Education Secretary Bridget Philipson.","1 day ago","Factual"
"https://www.bbc.com/sport/football/videos/cwyn8v9nw0wo","Forest had clear intention to bounce back - Nuno","Nottingham Forest boss Nuno Espirito Santo gives credit to his players' mindset after his side were able to bounce back from defeat against Everton to beat Tottenham 2-1 at Tottenham Hotspur stadium.","21 Apr 2025","Premier League"
"https://www.bbc.com/news/articles/cly6lp567r8o","His memories uncovered a secret jail - right next to an international airport","Six men in Bangladesh tell the BBC about how they were forced into detention under the now-deposed government.","15 Apr 2025","Asia"
"https://www.bbc.com/audio/play/w3ct73t6","What is the International Criminal Court?","And how does it work?","8 Apr 2025","News"
"https://www.bbc.com/news/articles/cg411rrnkkko","Why has Trump revoked hundreds of international student visas?","Hundreds of foreign students across the US have had their visas revoked suddenly and without explanation, lawyers say.","9 Apr 2025","US & Canada"
"https://www.bbc.com/sport/darts/articles/cx2v530kl45o","Bunting beats Aspinall to win International Open","Stephen Bunting beats fellow Englishman Nathan Aspinall 8-5 to win the International Open in Germany - his first European Tour title.","6 Apr 2025","Darts"
